booth_id,lat,lon,wealth_index,dilapidated_house_ratio,electricity_access_ratio,sanitation_deprivation_ratio,bank_distance_km,mobile_coverage_status,power_hours_domestic,historical_volatility_index,historical_margin_of_victory
1,26.8128,80.9012,0.46,0.21,0.8,0.24,3.89,1,15,0.0734,0.1692
2,26.8141,80.9025,0.39,0.14,0.86,0.31,2.98,1,17,0.0806,0.2291
3,26.8092,80.8945,0.36,0.26,0.91,0.31,3.26,1,18,0.0783,0.1604
4,26.8078,80.893,0.45,0.27,0.92,0.18,2.99,1,16,0.0796,0.1638
5,26.821,80.907,0.33,0.22,0.81,0.17,3.38,1,17,0.0789,0.2115
6,26.8222,80.9082,0.43,0.15,0.8,0.27,4.63,1,17,0.0723,0.2085
7,26.8115,80.9531,0.82,0.03,0.97,0.03,0.26,1,20,0.1003,0.4065
8,26.813,80.9548,0.67,0.07,0.99,0.01,0.3,1,24,0.1031,0.4152
9,26.8498,80.9462,0.44,0.28,0.82,0.34,2.06,1,16,0.0724,0.0424
10,26.851,80.9478,0.44,0.23,0.85,0.27,2.41,1,17,0.0713,0.0403
11,26.8313,80.918,0.32,0.18,0.83,0.25,3.86,1,15,0.0653,0.0434
12,26.8325,80.9195,0.42,0.12,0.86,0.22,2.59,0,17,0.0664,0.0278
13,26.805,80.945,0.77,0.06,0.98,0.02,0.52,1,23,0.1012,0.4107
14,26.8062,80.9465,0.86,0.07,0.95,0.02,1.16,1,23,0.1023,0.4144
15,26.7645,80.8878,0.3,0.22,0.84,0.15,3.52,1,14,0.0772,0.1375
