booth_id,gender,age_group,social_group,occupation,n_voters
1,Male,18-25,General/OBC,Cultivator,6
1,Male,18-25,General/OBC,Ag-Laborer,2
1,Male,18-25,General/OBC,Other-Worker,3
1,Male,18-25,General/OBC,Non-Worker,4
1,Male,18-25,SC,Cultivator,2
1,Male,18-25,SC,Ag-Laborer,1
1,Male,18-25,SC,Other-Worker,9
1,Male,18-25,SC,Non-Worker,2
1,Male,18-25,ST,Cultivator,1
1,Male,18-25,ST,Ag-Laborer,1
1,Male,18-25,ST,Other-Worker,1
1,Male,18-25,ST,Non-Worker,13
1,Male,26-35,General/OBC,Cultivator,3
1,Male,26-35,General/OBC,Ag-Laborer,5
1,Male,26-35,General/OBC,Other-Worker,4
1,Male,26-35,General/OBC,Non-Worker,3
1,Male,26-35,SC,Cultivator,2
1,Male,26-35,SC,Ag-Laborer,11
1,Male,26-35,SC,Other-Worker,2
1,Male,26-35,SC,Non-Worker,2
1,Male,26-35,ST,Cultivator,1
1,Male,26-35,ST,Ag-Laborer,20
1,Male,26-35,ST,Other-Worker,2
1,Male,26-35,ST,Non-Worker,5
1,Male,36-50,General/OBC,Cultivator,8
1,Male,36-50,General/OBC,Ag-Laborer,29
1,Male,36-50,General/OBC,Other-Worker,7
1,Male,36-50,General/OBC,Non-Worker,6
1,Male,36-50,SC,Cultivator,1
1,Male,36-50,SC,Ag-Laborer,3
1,Male,36-50,SC,Other-Worker,3
1,Male,36-50,SC,Non-Worker,3
1,Male,36-50,ST,Cultivator,15
1,Male,36-50,ST,Ag-Laborer,4
1,Male,36-50,ST,Other-Worker,8
1,Male,36-50,ST,Non-Worker,5
1,Male,51+,General/OBC,Cultivator,1
1,Male,51+,General/OBC,Ag-Laborer,12
1,Male,51+,General/OBC,Other-Worker,2
1,Male,51+,General/OBC,Non-Worker,8
1,Male,51+,SC,Cultivator,13
1,Male,51+,SC,Ag-Laborer,26
1,Male,51+,SC,Other-Worker,2
1,Male,51+,SC,Non-Worker,6
1,Male,51+,ST,Cultivator,9
1,Male,51+,ST,Ag-Laborer,22
1,Male,51+,ST,Other-Worker,6
1,Male,51+,ST,Non-Worker,3
1,Female,18-25,General/OBC,Cultivator,6
1,Female,18-25,General/OBC,Ag-Laborer,3
1,Female,18-25,General/OBC,Other-Worker,23
1,Female,18-25,General/OBC,Non-Worker,1
1,Female,18-25,SC,Cultivator,2
1,Female,18-25,SC,Ag-Laborer,17
1,Female,18-25,SC,Other-Worker,3
1,Female,18-25,SC,Non-Worker,1
1,Female,18-25,ST,Cultivator,2
1,Female,18-25,ST,Ag-Laborer,2
1,Female,18-25,ST,Other-Worker,20
1,Female,18-25,ST,Non-Worker,3
1,Female,26-35,General/OBC,Cultivator,4
1,Female,26-35,General/OBC,Ag-Laborer,7
1,Female,26-35,General/OBC,Other-Worker,9
1,Female,26-35,General/OBC,Non-Worker,6
