unit_name,publisher,article_title,article_url
Ambasamudram,twitter.com,"Citizen Grievance / Social Report on: Thamirabarani river concrete project High Court",https://twitter.com/tn_citizen/status/188439221007?q=Thamirabarani+river+concrete+project+High+Court
Ambasamudram,twitter.com,"Citizen Grievance / Social Report on: Thamirabarani riverfront beautification PIL",https://twitter.com/tn_citizen/status/18843924533?q=Thamirabarani+riverfront+beautification+PIL
Ambasamudram,twitter.com,"Citizen Grievance / Social Report on: Thamirabarani Tirunelveli river restoration",https://twitter.com/tn_citizen/status/188439253905?q=Thamirabarani+Tirunelveli+river+restoration
Ambasamudram,twitter.com,"Citizen Grievance / Social Report on: Kalakkad crop damage wildlife elephant fencing",https://twitter.com/tn_citizen/status/188439289138?q=Kalakkad+crop+damage+wildlife+elephant+fencing
Ambasamudram,twitter.com,"Citizen Grievance / Social Report on: Ambasamudram byelection Tamil Nadu 2026",https://twitter.com/tn_citizen/status/188439289389?q=Ambasamudram+byelection+Tamil+Nadu+2026
Ambasamudram,youtube.com,"Citizen Grievance / Social Report on: Thamirabarani river concrete project High Court",https://youtube.com/watch?v=006fb5af&q=Thamirabarani+river+concrete+project+High+Court
Ambasamudram,youtube.com,"Citizen Grievance / Social Report on: Thamirabarani riverfront beautification PIL",https://youtube.com/watch?v=01cfefb5&q=Thamirabarani+riverfront+beautification+PIL
Ambasamudram,youtube.com,"Citizen Grievance / Social Report on: Kalakkad crop damage wildlife elephant fencing",https://youtube.com/watch?v=01ff00f2&q=Kalakkad+crop+damage+wildlife+elephant+fencing
Ambasamudram,youtube.com,"Citizen Grievance / Social Report on: Thamirabarani Tirunelveli river restoration",https://youtube.com/watch?v=020925b1&q=Thamirabarani+Tirunelveli+river+restoration
Ambasamudram,youtube.com,"Citizen Grievance / Social Report on: Ambasamudram byelection Tamil Nadu 2026",https://youtube.com/watch?v=0262308d&q=Ambasamudram+byelection+Tamil+Nadu+2026
Karur,"The Federal","Fire engulfs bus body-building unit in Karur, destroys three buses | #shorts",https://www.youtube.com/watch?v=2zurp9H7MNM
Karur,aninews.in,"Fire breaks out at bus body-building unit in Tamil Nadu's Karur; 3 buses gutted",https://www.aninews.in/news/national/general-news/fire-breaks-out-at-bus-body-building-unit-in-tamil-nadus-karur-3-buses-gutted20260712142106/
