AC_No,AC_Name,Booth_No,Polling_Station_Name,Total_Valid_2017,Total_Valid_2022,BJP_share_2017,BJP_share_2022,SP_share_2017,SP_share_2022,HV_booth,HM_booth_2017,HM_booth_2022,HM_booth_avg
175,Lucknow Cantt,1,Alambagh - Primary School Room No. 1,573,578,0.4887,0.5536,0.3665,0.3374,0.0734,0.1222,0.2162,0.1692
175,Lucknow Cantt,2,Alambagh - Primary School Room No. 2,563,577,0.5240,0.5979,0.3517,0.3120,0.0806,0.1723,0.2859,0.2291
175,Lucknow Cantt,3,Singar Nagar - Junior High School East Wing,650,657,0.4769,0.5479,0.3692,0.3349,0.0783,0.1077,0.2130,0.1604
175,Lucknow Cantt,4,Singar Nagar - Junior High School West Wing,641,641,0.4758,0.5538,0.3666,0.3354,0.0796,0.1092,0.2184,0.1638
175,Lucknow Cantt,5,Krishna Nagar - Inter College Central Room,504,511,0.5159,0.5871,0.3571,0.3229,0.0789,0.1588,0.2642,0.2115
175,Lucknow Cantt,6,Krishna Nagar - Government School North Hall,534,543,0.5150,0.5801,0.3558,0.3223,0.0723,0.1592,0.2578,0.2085
175,Lucknow Cantt,7,Cantt Area - Community Hall Room No. 1,520,535,0.6154,0.7103,0.2885,0.2243,0.1003,0.3269,0.4860,0.4065
175,Lucknow Cantt,8,Cantt Area - Primary School Room No. 1,510,523,0.6176,0.7170,0.2843,0.2199,0.1031,0.3333,0.4971,0.4152
175,Lucknow Cantt,9,Sadar Bazar - Primary School Room No. 2,607,587,0.3954,0.4600,0.4119,0.3918,0.0724,0.0165,0.0682,0.0424
175,Lucknow Cantt,10,Sadar Bazar - Junior High School East Wing,637,616,0.3925,0.4545,0.4082,0.3896,0.0713,0.0157,0.0649,0.0403
175,Lucknow Cantt,11,Charbagh - Junior High School West Wing,637,616,0.3532,0.4058,0.4239,0.4221,0.0653,0.0706,0.0162,0.0434
175,Lucknow Cantt,12,Charbagh - Inter College Central Room,630,610,0.3651,0.4180,0.4206,0.4180,0.0664,0.0556,0.0000,0.0278
175,Lucknow Cantt,13,Nilmatha - Government School North Hall,539,554,0.6308,0.7220,0.2968,0.2347,0.1012,0.3340,0.4874,0.4107
175,Lucknow Cantt,14,Nilmatha - Community Hall Room No. 1,534,549,0.6273,0.7195,0.2903,0.2277,0.1023,0.3371,0.4918,0.4144
175,Lucknow Cantt,15,Amausi - Primary School Room No. 1,581,582,0.4647,0.5326,0.3787,0.3436,0.0772,0.0861,0.1890,0.1375
