AC_No,AC_Name,Booth_No,Polling_Station_Name,BJP_2017,SP_2017,BSP_2017,INC_2017,OTH_2017,NOTA_2017,Total_Valid_2017,Tendered_2017,BJP_2022,SP_2022,BSP_2022,INC_2022,OTH_2022,NOTA_2022,Total_Valid_2022,Tendered_2022
175,Lucknow Cantt,1,Alambagh - Primary School Room No. 1,280,210,55,10,12,6,573,0,320,195,35,15,8,5,578,0
175,Lucknow Cantt,2,Alambagh - Primary School Room No. 2,295,198,48,8,10,4,563,0,345,180,30,12,6,4,577,1
175,Lucknow Cantt,3,Singar Nagar - Junior High School East Wing,310,240,62,15,15,8,650,1,360,220,40,20,10,7,657,0
175,Lucknow Cantt,4,Singar Nagar - Junior High School West Wing,305,235,58,12,14,7,641,0,355,215,38,18,9,6,641,0
175,Lucknow Cantt,5,Krishna Nagar - Inter College Central Room,260,180,45,6,8,5,504,0,300,165,28,10,5,3,511,0
175,Lucknow Cantt,6,Krishna Nagar - Government School North Hall,275,190,47,7,9,6,534,0,315,175,32,11,6,4,543,0
175,Lucknow Cantt,7,Cantt Area - Community Hall Room No. 1,320,150,35,5,6,4,520,0,380,120,20,8,4,3,535,0
175,Lucknow Cantt,8,Cantt Area - Primary School Room No. 1,315,145,38,4,5,3,510,0,375,115,22,6,3,2,523,0
175,Lucknow Cantt,9,Sadar Bazar - Primary School Room No. 2,240,250,70,18,20,9,607,0,270,230,45,22,12,8,587,1
175,Lucknow Cantt,10,Sadar Bazar - Junior High School East Wing,250,260,75,20,22,10,637,0,280,240,48,25,14,9,616,0
175,Lucknow Cantt,11,Charbagh - Junior High School West Wing,225,270,80,25,25,12,637,1,250,260,52,28,16,10,616,0
175,Lucknow Cantt,12,Charbagh - Inter College Central Room,230,265,78,22,24,11,630,0,255,255,50,26,15,9,610,0
175,Lucknow Cantt,13,Nilmatha - Government School North Hall,340,160,30,3,4,2,539,0,400,130,15,5,2,2,554,0
175,Lucknow Cantt,14,Nilmatha - Community Hall Room No. 1,335,155,32,4,5,3,534,0,395,125,18,6,3,2,549,0
175,Lucknow Cantt,15,Amausi - Primary School Room No. 1,270,220,60,11,13,7,581,0,310,200,42,16,8,6,582,0
